Campaign,Campaign type,Campaign status,Budget,Bid strategy type,Networks,EU political ads,Ad group,Ad group status,Default max. CPC,Keyword,Match type,Keyword status,Max. CPC,Ad type,Ad status,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description 1,Description 2,Description 3,Description 4
PP Search | Protección Patrimonial,,,,,,,EN 10 Personal Cyber,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 12 Kidnap & Ransom,,,kidnap ransom insurance family,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/kidnap-ransom/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 12 Kidnap & Ransom,,,kidnap insurance travel,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/kidnap-ransom/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 12 Kidnap & Ransom,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/en/guides/kidnap-ransom/,kidnap-ransom,guide,"Kidnap and Ransom, Explained",K&R Insurance for Families,What K&R Policies Cover,Why Response Teams Matter,The Confidentiality Condition,Travel Advisory Levels,Individual vs. Corporate K&R,How K&R Fits With Umbrella,Extortion and Detention,A Discreet Coverage,"Plan Calmly, Long Before",Questions to Review,Read It in English or Spanish,"Educational, Not a Sales Pitch",Talk It Through With an Agent,"What kidnap and ransom insurance is, who it is for and why the response team matters most.","Covered events, the confidentiality condition and how K&R fits with umbrella and travel.","State Department advisory levels and calm family planning, explained in plain language.","An educational guide in English and Spanish. Read it at your pace, then ask questions."
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,,,seguro de secuestro,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/secuestro-y-extorsion/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,,,seguro contra secuestro y extorsion,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/secuestro-y-extorsion/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,,,seguro k&r,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/secuestro-y-extorsion/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,,,seguro de secuestro para familias,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/secuestro-y-extorsion/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 13 Secuestro y Extorsión,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/guias/secuestro-y-extorsion/,secuestro,guia,Secuestro y Extorsión: la Guía,Seguro K&R para Familias,Qué Eventos Cubre,Por Qué Importa la Respuesta,Condición de Confidencialidad,Niveles de Alerta de Viaje,Póliza Personal o Corporativa,Cómo Encaja con la Umbrella,Extorsión y Detención,Una Cobertura Discreta,Planifique con Calma,Preguntas Para Revisar,Guía en Español e Inglés,"Educativo, Sin Presión",Converse con un Agente,"Qué es el seguro de secuestro y extorsión, a quién le conviene y cómo funciona.","Eventos cubiertos, la condición de confidencialidad y cómo encaja con la umbrella.","Los niveles de alerta del Departamento de Estado y la planificación familiar, con calma.",Guía educativa en español e inglés. Léala a su ritmo y luego haga sus preguntas.
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,short term rental insurance florida,exact,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,vacation rental insurance florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,florida vacation rental license,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,insurance for vacation rental home,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,short term rental insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,home sharing insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 14 Short-Term Rentals,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/en/guides/short-term-rentals/,rentals,florida,Short-Term Rentals in Florida,Vacation Rental Licensing,When DBPR Requires a License,"Rental Taxes, Explained",Condo and HOA Rental Rules,Short-Term Rental Insurance,Guest Injuries and Liability,When a Home Policy Falls Short,Landlord Policy or Endorsement,"Pools, Docks and Golf Carts",Hurricane Plans for Bookings,A Rental Safety Checklist,Read It in English or Spanish,"Educational, Not a Sales Pitch",Talk It Through With an Agent,"When a Florida rental needs a DBPR license, which taxes apply and what policies miss.","Why a homeowners policy may not respond to paying guests, and the options families review.","Guest injuries, pools and docks, condo rules and hurricane plans for your bookings.","An educational guide in English and Spanish. Read it at your pace, then ask questions."
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,Paused,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,,,seguro para alquiler vacacional,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/alquiler-vacacional/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,,,licencia alquiler vacacional florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/alquiler-vacacional/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,,,seguro renta corto plazo,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/alquiler-vacacional/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,,,alquiler vacacional florida seguro,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/alquiler-vacacional/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 15 Alquiler Vacacional,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/guias/alquiler-vacacional/,alquiler,florida,Alquiler Vacacional en Florida,Licencia del DBPR,Impuestos del Alquiler,Reglas del Condominio y HOA,Seguro de Alquiler Vacacional,Huéspedes y Responsabilidad,Cuando la Póliza No Responde,Póliza de Arrendador o Endoso,"Piscinas, Muelles y Carritos",Plan de Huracán y Reservas,Lista Para Reducir el Riesgo,Qué Revisar Antes de Alquilar,Guía en Español e Inglés,"Educativo, Sin Presión",Converse con un Agente,Cuándo un alquiler en Florida necesita licencia del DBPR y qué impuestos aplican.,"Por qué la póliza de hogar puede no responder ante huéspedes que pagan, y qué revisar.","Lesiones de huéspedes, piscinas y muelles, reglas del condominio y planes de huracán.",Guía educativa en español e inglés. Léala a su ritmo y luego haga sus preguntas.
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,builders risk insurance for homeowners,exact,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,builders risk insurance florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,home renovation insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,insurance during home renovation,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,notice of commencement florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,vacant home during renovation,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 16 Renovations,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/en/guides/renovations-builders-risk/,renovations,florida,Renovating in Florida?,"Builder's Risk, Explained",Builder's Risk Insurance,When the Home Sits Empty,Contractor Certificates,Additional Insured Status,Notice of Commencement,Avoid Paying Twice,Owner-Builder Risks,Hurricane Season on Site,Permits and Building Code,Update the Policy After,Read It in English or Spanish,"Educational, Not a Sales Pitch",Talk It Through With an Agent,"What changes in your insurance during a renovation, and what to ask every contractor for.","Builder's risk, the vacancy clause and wind coverage during hurricane season, explained.",The notice of commencement and lien releases that help keep a family from paying twice.,"An educational guide in English and Spanish. Read it at your pace, then ask questions."
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,ho6 insurance florida,exact,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,condo insurance florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,loss assessment coverage,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,condo master policy vs ho6,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,milestone inspection florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,sirs reserve study florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,condo special assessment insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 17 Condo & HOA,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/en/guides/condos-hoa/,condo-hoa,florida,Condos and HOAs in Florida,Master Policy vs. HO-6,"Condo Insurance, Explained",Loss Assessment Coverage,Special Assessments,Milestone Inspections,Reserve Studies (SIRS),What the Association Covers,What the Owner Insures,"Florida Condo Laws, Cited",Before You Buy a Unit,HOA Rules for Houses,Read It in English or Spanish,"Educational, Not a Sales Pitch",Talk It Through With an Agent,"What the master policy covers, what falls to the owner and how the HO-6 fills the gap.","Loss assessment coverage, special assessments and hurricane deductibles, explained.","Milestone inspections and structural integrity reserve studies, with Florida statutes.","An educational guide in English and Spanish. Read it at your pace, then ask questions."
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,Paused,4.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,seguro de condominio florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,seguro ho6,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,cobertura de evaluacion por perdida,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,inspeccion de hito florida,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,estudio de reservas condominio,phrase,Paused,,,,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,ES 18 Condominios,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/guias/condominios-y-hoa/,condominios,florida,Condominios en Florida,Póliza Maestra y HO-6,Seguro de Condominio,Evaluación por Pérdida,Evaluaciones Especiales,Inspecciones de Hito,Estudio de Reservas (SIRS),Qué Cubre la Asociación,Qué Le Toca al Propietario,"Leyes de Florida, Citadas",Antes de Comprar una Unidad,Asociaciones de Propietarios,Guía en Español e Inglés,"Educativo, Sin Presión",Converse con un Agente,"Qué cubre la póliza maestra, qué le toca al propietario y cómo encaja la póliza HO-6.","Cobertura de evaluación por pérdida, evaluaciones especiales y deducibles de huracán.","Inspecciones de hito y estudios de reservas de integridad estructural, con la ley citada.",Guía educativa en español e inglés. Léala a su ritmo y luego haga sus preguntas.
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,Paused,5.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,nonprofit board d&o insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,board member liability insurance,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,directors and officers insurance nonprofit,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,family foundation self dealing,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,nonprofit board member personal liability,phrase,Paused,,,,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,,,,,,,,,,,,,,,,,,,,,
PP Search | Protección Patrimonial,,,,,,,EN 19 Board Service,,,,,,,Responsive search ad,Paused,https://www.protectedlegacyfl.com/en/guides/board-service-family-foundations/,boards,foundations,Serving on a Board?,"Board Service, Explained","D&O Insurance, Explained","Side A, B and C of D&O",Nonprofit Board Protections,Florida Statute 617.0834,Family Foundation Rules,"Self-Dealing, Explained",Claims-Made Policies,Before Accepting a Seat,How It Fits Your Umbrella,Good Governance Habits,Read It in English or Spanish,"Educational, Not a Sales Pitch",Talk It Through With an Agent,"What the law protects when you serve on a board, and what D&O insurance usually covers.","Family foundation rules on self-dealing, explained with IRS guidance, plus EPLI basics.","How board service fits with your umbrella, and the questions to ask before you say yes.","An educational guide in English and Spanish. Read it at your pace, then ask questions."
